GeneID,Symbol,Description,TaxID,Organism,CommonName
19293,Pvalb,parvalbumin,,Mus musculus,house mouse
6531,SLC6A3,solute carrier family 6 member 3,,Homo sapiens,human
7054,TH,tyrosine hydroxylase,,Homo sapiens,human
6571,SLC18A2,solute carrier family 18 member A2,,Homo sapiens,human
366,AQP9,aquaporin 9,,Homo sapiens,human
358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human
361,AQP4,aquaporin 4,,Homo sapiens,human
857,CAV1,caveolin 1,,Homo sapiens,human
13492,Drd5,dopamine receptor D5,,Mus musculus,house mouse
13489,Drd2,dopamine receptor D2,,Mus musculus,house mouse
920,CD4,CD4 molecule,,Homo sapiens,human
6097,RORC,RAR related orphan receptor C,,Homo sapiens,human
33569,Thor,thor,,Drosophila melanogaster,fruit fly
43580,sima,similar,,Drosophila melanogaster,fruit fly
41709,foxo,"forkhead box, sub-group O",,Drosophila melanogaster,fruit fly
53947,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",,Homo sapiens,human
6804,STX1A,syntaxin 1A,,Homo sapiens,human
2054,STX2,syntaxin 2,,Homo sapiens,human
84557,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,,Homo sapiens,human
23435,TARDBP,TAR DNA binding protein,,Homo sapiens,human
360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human
10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,human
4790,NFKB1,nuclear factor kappa B subunit 1,,Homo sapiens,human
581,BAX,"BCL2 associated X, apoptosis regulator",,Homo sapiens,human
596,BCL2,BCL2 apoptosis regulator,,Homo sapiens,human
1644,DDC,dopa decarboxylase,,Homo sapiens,human
793,CALB1,calbindin 1,,Homo sapiens,human
7432,VIP,vasoactive intestinal peptide,,Homo sapiens,human
42490,Mvl,Malvolio,,Drosophila melanogaster,fruit fly
46415,Fer1HCH,Ferritin 1 heavy chain homologue,,Drosophila melanogaster,fruit fly
32260,Fer3HCH,Ferritin 3 heavy chain homologue,,Drosophila melanogaster,fruit fly
7056,THBD,thrombomodulin,,Homo sapiens,human
3091,HIF1A,hypoxia inducible factor 1 subunit alpha,,Homo sapiens,human
9314,KLF4,KLF transcription factor 4,,Homo sapiens,human
59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,human
14281,Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",,Mus musculus,house mouse
83626,Ugcg,UDP-glucose ceramide glucosyltransferase,,Rattus norvegicus,Norway rat
25240,Aqp1,aquaporin 1,,Rattus norvegicus,Norway rat
170496,Lcn2,lipocalin 2,,Rattus norvegicus,Norway rat
20604,Sst,somatostatin,,Mus musculus,house mouse
13488,Drd1,dopamine receptor D1,,Mus musculus,house mouse
6548,SLC9A1,solute carrier family 9 member A1,,Homo sapiens,human
7431,VIM,vimentin,,Homo sapiens,human
5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",,Homo sapiens,human
79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,Norway rat
170913,Abcb1a,ATP binding cassette subfamily B member 1A,,Rattus norvegicus,Norway rat
24646,Abcb1b,"ATP-binding cassette, sub-family B member 1B",,Rattus norvegicus,Norway rat
171144,Slco4a1,"solute carrier organic anion transporter family, member 4a1",,Rattus norvegicus,Norway rat
171049,Folr1,folate receptor alpha,,Rattus norvegicus,Norway rat
29723,Slc19a1,solute carrier family 19 member 1,,Rattus norvegicus,Norway rat
50719,Slc7a5,solute carrier family 7 member 5,,Rattus norvegicus,Norway rat
230908,Tardbp,TAR DNA binding protein,,Mus musculus,house mouse
11829,Aqp4,aquaporin 4,,Mus musculus,house mouse
1401,CRP,C-reactive protein,,Homo sapiens,human
135,ADORA2A,adenosine A2a receptor,,Homo sapiens,human
7038,TG,thyroglobulin,,Homo sapiens,human
13370,Dio1,"deiodinase, iodothyronine, type I",,Mus musculus,house mouse
16491,Kcna3,"potassium voltage-gated channel, shaker-related subfamily, member 3",,Mus musculus,house mouse
26417,Mapk3,mitogen-activated protein kinase 3,,Mus musculus,house mouse
2353,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",,Homo sapiens,human
18429,Oxt,oxytocin,,Mus musculus,house mouse
11998,Avp,arginine vasopressin,,Mus musculus,house mouse
